iter	Passed	Remaining
659	3194	5449
660	3198	5444
661	3202	5437
662	3206	5431
663	3210	5425
664	3214	5418
665	3218	5412
666	3222	5405
667	3226	5400
668	3232	5397
669	3236	5390
670	3241	5386
671	3245	5381
672	3250	5374
673	3254	5369
674	3258	5363
675	3262	5357
676	3266	5350
677	3270	5345
678	3275	5339
679	3278	5332
680	3282	5326
681	3286	5320
682	3290	5314
683	3294	5307
684	3298	5301
685	3302	5296
686	3306	5289
687	3310	5283
688	3314	5277
689	3319	5272
690	3324	5267
691	3329	5262
692	3337	5263
693	3344	5263
694	3350	5259
695	3361	5264
696	3372	5268
697	3377	5264
698	3382	5259
699	3387	5255
700	3397	5258
701	3406	5260
702	3413	5258
703	3418	5254
704	3425	5252
705	3431	5248
706	3435	5242
707	3441	5239
708	3447	5236
709	3454	5235
710	3459	5230
711	3463	5224
712	3467	5218
713	3471	5212
714	3475	5206
715	3479	5199
716	3483	5193
717	3487	5187
718	3491	5181
719	3495	5175
720	3499	5169
721	3503	5163
722	3508	5157
723	3512	5151
724	3517	5147
725	3521	5141
726	3525	5135
727	3529	5128
728	3533	5122
729	3537	5116
730	3541	5110
731	3545	5105
732	3549	5099
733	3553	5093
734	3558	5088
735	3563	5084
736	3568	5079
737	3572	5073
738	3577	5067
739	3581	5062
740	3585	5056
741	3589	5050
742	3593	5044
743	3598	5039
744	3604	5036
745	3609	5031
746	3613	5025
747	3617	5020
748	3622	5015
749	3627	5010
750	3631	5005
751	3635	4999
752	3640	4994
753	3645	4989
754	3649	4983
755	3654	4978
756	3659	4974
757	3665	4970
758	3669	4965
759	3673	4959
760	3677	4953
761	3682	4948
762	3686	4942
763	3690	4936
764	3694	4930
765	3698	4924
766	3702	4919
767	3706	4913
768	3710	4907
769	3714	4901
770	3718	4895
771	3722	4889
772	3727	4884
773	3731	4878
774	3736	4873
775	3739	4867
776	3743	4861
777	3748	4857
778	3753	4851
779	3756	4845
780	3760	4839
781	3765	4834
782	3769	4828
783	3773	4822
784	3777	4816
785	3782	4812
786	3786	4806
787	3790	4801
788	3797	4799
789	3805	4797
790	3812	4795
791	3819	4793
792	3827	4792
793	3832	4788
794	3837	4783
795	3843	4779
796	3847	4774
797	3851	4768
798	3856	4763
799	3860	4757
800	3864	4752
801	3868	4746
802	3873	4741
803	3877	4736
804	3882	4731
805	3888	4727
806	3892	4722
807	3897	4717
808	3903	4714
809	3909	4710
810	3914	4705
811	3918	4700
812	3923	4695
813	3928	4691
814	3934	4687
815	3938	4681
816	3942	4676
817	3946	4670
818	3952	4666
819	3957	4662
820	3962	4658
821	3967	4652
822	3971	4647
823	3975	4641
824	3980	4637
825	3986	4632
826	3990	4627
827	3995	4622
828	3999	4616
829	4003	4611
830	4007	4605
831	4012	4600
832	4016	4595
833	4021	4589
834	4025	4584
835	4029	4579
836	4033	4573
837	4038	4568
838	4043	4564
839	4049	4560
840	4055	4557
841	4063	4555
842	4068	4550
843	4073	4546
844	4077	4540
845	4082	4536
846	4088	4532
847	4096	4530
848	4100	4525
849	4106	4521
850	4110	4516
851	4114	4510
852	4119	4505
853	4123	4500
854	4127	4494
855	4132	4489
856	4136	4484
857	4141	4479
858	4145	4473
859	4150	4468
860	4154	4463
861	4159	4458
862	4164	4453
863	4170	4450
864	4175	4445
865	4180	4441
866	4185	4436
867	4189	4430
868	4194	4426
869	4200	4423
870	4205	4418
871	4211	4414
872	4217	4410
873	4221	4405
874	4227	4401
875	4232	4397
876	4237	4392
877	4242	4387
878	4247	4382
879	4251	4377
880	4256	4372
881	4261	4367
882	4266	4362
883	4271	4358
884	4277	4354
885	4281	4349
886	4286	4344
887	4291	4339
888	4295	4333
889	4299	4328
890	4303	4323
891	4307	4317
892	4312	4312
893	4319	4309
894	4326	4306
895	4331	4302
896	4336	4298
897	4342	4293
898	4348	4290
899	4354	4286
900	4359	4281
901	4364	4277
902	4368	4272
903	4374	4267
904	4380	4264
905	4385	4259
906	4390	4254
907	4394	4249
908	4398	4244
909	4403	4238
910	4407	4233
911	4412	4228
912	4416	4223
913	4422	4218
914	4426	4213
915	4430	4208
916	4434	4202
917	4439	4197
918	4444	4192
919	4448	4187
920	4452	4182
921	4457	4177
922	4462	4172
923	4468	4168
924	4474	4165
925	4479	4160
926	4484	4155
927	4489	4150
928	4493	4145
929	4498	4140
930	4502	4135
931	4507	4129
932	4511	4124
933	4515	4119
934	4519	4113
935	4524	4108
936	4528	4103
937	4532	4097
938	4536	4092
939	4541	4086
940	4545	4081
941	4549	4076
942	4553	4071
943	4558	4065
944	4563	4060
945	4567	4055
946	4571	4050
947	4576	4045
948	4583	4042
949	4589	4038
950	4594	4034
951	4599	4029
952	4605	4025
953	4609	4020
954	4614	4015
955	4619	4010
956	4623	4005
957	4627	3999
958	4632	3994
959	4636	3989
960	4640	3984
961	4645	3978
962	4649	3973
963	4653	3967
964	4657	3962
965	4661	3957
966	4666	3952
967	4671	3947
968	4679	3945
969	4684	3941
970	4690	3936
971	4695	3932
972	4700	3927
973	4704	3922
974	4709	3917
975	4713	3911
976	4717	3906
977	4721	3901
978	4726	3895
979	4730	3890
980	4734	3885
981	4739	3880
982	4743	3874
983	4747	3869
984	4752	3864
985	4757	3859
986	4762	3854
987	4766	3849
988	4770	3844
989	4775	3839
990	4779	3834
991	4783	3829
992	4788	3823
993	4793	3819
994	4798	3814
995	4803	3809
996	4812	3808
997	4817	3803
998	4822	3798
999	4829	3796
1000	4835	3792
1001	4842	3789
1002	4849	3786
1003	4854	3781
1004	4858	3775
1005	4862	3770
1006	4869	3767
1007	4875	3763
1008	4880	3758
1009	4885	3753
1010	4889	3748
1011	4893	3743
1012	4898	3737
1013	4902	3732
1014	4907	3727
1015	4911	3722
1016	4916	3717
1017	4920	3712
1018	4926	3707
1019	4930	3702
1020	4934	3697
1021	4938	3691
1022	4943	3687
1023	4947	3681
1024	4953	3677
1025	4957	3672
1026	4962	3667
1027	4966	3662
